b1,1CC rate,2CC rate,Game 1 rate,beta,CC rate,strat,strat_space,transition,N,eps
1.8,0.28036453784665155,0.0218220070061817,0.5988406162521366,1,0.30218654485283325,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.3263864041076727,0.023946236601610424,0.6017740379061667,1,0.35033264070928316,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.896899252803972,0.006969472925979644,0.9501471445828443,10,0.9038687257299516,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.8812956006434748,0.0067418804099949456,0.9409102052317702,10,0.8880374810534697,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.8870383244229774,0.007014690537899443,0.9351975608937976,10,0.8940530149608769,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.8891054704200105,0.006628634735905619,0.946169196550772,10,0.8957341051559161,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.9014114581650835,0.006635378427111998,0.9445987876132437,10,0.9080468365921955,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.9066725834524362,0.007982010397527464,0.9512863508271548,100,0.9146545938499636,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.9020142946795029,0.008064071656349477,0.9489207848454785,100,0.9100783663358524,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.9008689530564397,0.008083401149601231,0.9503416245770295,100,0.9089523542060409,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.918156198198327,0.0073663298489729774,0.9547803754948757,100,0.9255225280473,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
1.8,0.8978170715389624,0.008065098940423614,0.9455030433647633,100,0.905882170479386,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,0.001
